                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 3.1039,                 3.0657,                 2.7674,                0.24916,                0.22264,                0.17596,                0.06951,                 4.9839,                 6.4925,                 4.6013,             0.00049504,             0.00049504,             0.00049504
                     48,                 3.0638,                 3.0516,                 2.7433,                 0.3033,                   0.22,                0.22244,                0.08444,                 5.0779,                 5.9793,                 4.7263,             0.00048604,             0.00048604,             0.00048604
                     49,                 3.0522,                 2.9427,                 2.7389,                0.22999,                0.23074,                0.21129,                0.08013,                 5.0768,                 6.1023,                 4.7682,             0.00047704,             0.00047704,             0.00047704
                     50,                 3.0177,                 2.8005,                 2.7279,                0.28917,                0.23577,                0.20564,                0.07943,                 4.9207,                 6.1281,                 4.5262,             0.00046804,             0.00046804,             0.00046804
                     51,                 2.9783,                 2.8187,                 2.7087,                0.29126,                0.24997,                0.21569,                0.08078,                 5.0925,                 5.9997,                 4.7337,             0.00045904,             0.00045904,             0.00045904
                     52,                  3.075,                 2.8522,                 2.7565,                0.23536,                0.21564,                 0.1781,                0.06601,                 5.0097,                 6.2666,                 4.7548,             0.00045005,             0.00045005,             0.00045005
                     53,                 2.9505,                 2.7777,                 2.6757,                0.24669,                0.23735,                0.19883,                0.07002,                 5.0626,                 6.3702,                  4.778,             0.00044105,             0.00044105,             0.00044105
                     54,                 2.8925,                 2.6387,                 2.6465,                0.22179,                0.20722,                0.18677,                0.06607,                 5.2471,                 6.7077,                 4.9335,             0.00043205,             0.00043205,             0.00043205
                     55,                 2.8701,                   2.63,                 2.6116,                0.37369,                0.23082,                0.22074,                0.07601,                 5.2141,                 6.5649,                 4.9139,             0.00042305,             0.00042305,             0.00042305
                     56,                 2.8723,                 2.6629,                 2.6142,                0.30549,                0.26647,                0.22695,                0.08229,                 5.1855,                 6.3369,                 4.8557,             0.00041405,             0.00041405,             0.00041405
                     57,                 2.8798,                  2.665,                 2.6424,                0.37759,                0.21308,                0.21244,                 0.0774,                 5.0998,                 6.5049,                 4.8646,             0.00040505,             0.00040505,             0.00040505
                     58,                 2.8352,                 2.5188,                 2.5881,                 0.2642,                0.25754,                0.18921,                0.06873,                 5.0602,                 6.7752,                  4.808,             0.00039605,             0.00039605,             0.00039605
                     59,                 2.8266,                 2.5625,                 2.6107,                0.29243,                0.21838,                 0.1909,                0.07067,                 5.0931,                 6.9208,                 4.6208,             0.00038705,             0.00038705,             0.00038705
                     60,                 2.8113,                 2.5623,                 2.5922,                0.27465,                0.29938,                0.23787,                0.08046,                 5.0879,                 6.3263,                 4.8834,             0.00037805,             0.00037805,             0.00037805
                     61,                 2.7789,                 2.4568,                 2.5872,                 0.2973,                0.25061,                 0.2086,                 0.0714,                 5.1873,                 6.5238,                 4.8821,             0.00036905,             0.00036905,             0.00036905
                     62,                 2.7349,                 2.3882,                 2.5328,                0.30915,                0.25295,                0.22913,                0.09446,                 5.0714,                 6.4533,                 4.7916,             0.00036005,             0.00036005,             0.00036005
                     63,                  2.739,                 2.4061,                 2.5398,                0.41293,                0.21492,                0.23671,                0.08226,                  5.203,                 6.4989,                 4.9145,             0.00035106,             0.00035106,             0.00035106
